Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data
1,2526640.00,00,29
2,2552640.00,77,00
3,29907880.00,00,29
4,29933880.00,77,00
5,57006120.00,00,29
6,57032120.00,77,00
7,84462120.00,00,29
8,84488120.00,77,00
9,111863880.00,00,29
10,111889880.00,77,00
11,138969880.00,00,29
12,138995880.00,77,00
13,166405120.00,00,29
14,166431120.00,77,00
15,193857600.00,00,29
16,193883600.00,77,00
17,221259600.00,00,29
18,221285600.00,77,00
19,248768840.00,00,29
20,248794840.00,77,00
21,276205360.00,00,21
22,276231360.00,77,00
23,303267600.00,00,29
24,303293600.00,77,00
25,330702600.00,00,09
26,330728600.00,77,00
27,358177560.00,00,BD
28,358203560.00,77,00
29,385534080.00,00,29
30,385560080.00,77,00
31,412551080.00,00,29
32,412577080.00,77,00
33,439680320.00,00,29
34,439706320.00,77,00
35,466667800.00,00,29
36,466693800.00,77,00
37,493777320.00,00,29
38,493803320.00,77,00
39,521135800.00,00,29
40,521161800.00,77,00
41,548230040.00,00,29
42,548256040.00,77,00
43,575632800.00,00,29
44,575658800.00,77,00
45,602752520.00,00,29
46,602778520.00,77,00
47,630156040.00,00,29
48,630182040.00,77,00
49,657256040.00,00,29
50,657282040.00,77,00
51,685550520.00,00,29
52,685576520.00,77,00
53,712935000.00,00,29
54,712961000.00,77,00
55,740040240.00,00,BD
56,740066240.00,77,00
57,767433760.00,00,29
58,767459760.00,77,00
59,794939480.00,00,BD
60,794965480.00,77,00
61,822352240.00,00,29
62,822378240.00,77,00
63,849448000.00,00,29
64,849474000.00,77,00
65,876822240.00,00,29
66,876848240.00,77,00
67,904335960.00,00,BD
68,904361960.00,77,00
69,931733960.00,00,29
70,931759960.00,77,00
71,959264960.00,00,29
72,959290960.00,77,00
73,986704200.00,00,29
74,986730200.00,77,00
