Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data,Задержка  uS
1,100002400,0,1E,18
2,100027650,0,80,148
3,100182900,0,1E,18
4,100208150,0,0,336
5,100551400,0,1E,18
6,100576650,0,40,38
7,100621900,0,1F,19
8,100647900,40,0,650
,,,,
9,101305400,0,2A,18
10,101330650,0,7,22
11,101359900,0,28,18
12,101385150,0,14,22
13,101414400,0,6,18
14,101439650,0,40,22
15,101468900,0,0A,18
16,101494150,0,8B,22
17,101523400,0,0C,18
18,101548650,0,43,38
19,101593900,0,0F,19
20,101619900,0,0,22
21,101649400,0,3C,18
22,101674650,0,0,38
23,101719650,0,3A,18
24,101744900,0,34,26
25,101778400,0,3C,18
26,101803650,0,0,22
27,101833150,0,40,18
28,101858400,0,35,23
29,101888900,0,3C,18
30,101914150,0,21,49
31,101970650,0,3C,18
32,101995900,0,0,22
33,102025400,0,40,18
34,102050650,0,30,23
35,102081150,0,3C,18
36,102106400,0,21,43
37,102156650,0,3C,18
38,102181900,0,21,22
39,102211150,0,1E,33
40,102251150,0,6E,22
41,102280400,0,1C,18
42,102305650,0,CC,92
43,102405400,0,1D,19
44,102431400,CC,0,24
45,102462900,0,1C,18
46,102488150,0,CC,768
47,103263900,0,29,19
48,103289900,EE,0,37820
49,141116900,0,29,19
50,141142900,DC,0,49996
51,191146700,0,29,19
52,191172700,EE,0,49954
53,241133700,0,29,19
54,241159700,EE,0,49996
55,291163500,0,29,19
56,291189500,EE,0,50017
57,341214000,0,29,19
58,341240000,EE,0,49957
59,391204000,0,29,19
60,391230000,DC,0,49974
61,441211800,0,29,19
62,441237800,EE,0,49997
63,491242300,0,29,19
64,491268300,EE,0,49954
65,541229350,0,29,19
66,541255350,EE,0,50121
67,591384100,0,29,19
68,591410100,EE,0,24935
69,616352350,0,29,19
70,616378350,EE,0,9564
71,625950100,0,29,19
72,625976100,DC,0,9550
73,635533350,0,29,19
74,635559350,DC,0,9472
75,645038600,0,29,19
76,645064600,DC,0,9436
77,654508150,0,29,19
78,654534150,EE,0,9519
