Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data
1,100000950,0,1E
2,100026200,0,80
3,100181450,0,1E
4,100206700,0,0
5,100549950,0,1E
6,100575200,0,40
7,100620450,0,1F
8,100646450,40,0
9,101303950,0,2A
10,101329200,0,7
11,101358450,0,28
12,101383700,0,14
13,101412950,0,6
14,101438200,0,40
15,101467450,0,0A
16,101492700,0,8B
17,101521950,0,0C
18,101547200,0,43
19,101592450,0,0F
20,101618450,0,0
21,101647950,0,3C
22,101673200,0,0
23,101718200,0,3A
24,101743450,0,34
25,101776950,0,3C
26,101802200,0,0
27,101831700,0,40
28,101856950,0,35
29,101887450,0,3C
30,101912700,0,21
31,101969200,0,3C
32,101994450,0,0
33,102023950,0,40
34,102049200,0,30
35,102079700,0,3C
36,102104950,0,21
37,102155200,0,3C
38,102180450,0,21
39,102209700,0,1E
40,102249700,0,6E
41,102278950,0,1C
42,102304200,0,CC
43,102403950,0,1D
44,102429950,CC,0
45,102461450,0,1C
46,102486700,0,CC
47,103262450,0,29
48,103288450,EE,0
49,141302450,0,29
50,141328450,EE,0
51,191318700,0,29
52,191344700,EE,0
53,241333900,0,29
54,241359900,DC,0
55,291350150,0,29
56,291376150,DC,0
57,341387150,0,29
58,341413150,EE,0
59,391393400,0,29
60,391419400,EE,0
61,441411900,0,29
62,441437900,EE,0
63,491415150,0,29
64,491441150,EE,0
65,541430400,0,29
66,541456400,EE,0
67,591568900,0,29
68,591594900,EE,0
69,616539850,0,29
70,616565850,DC,0
71,626052600,0,29
72,626078600,DC,0
73,635484100,0,29
74,635510100,DC,0
75,645057850,0,29
76,645083850,DC,0
77,654610600,0,29
78,654636600,DC,0
79,664179850,0,29
80,664205850,DC,0
81,673707850,0,29
82,673733850,FE,0
83,683235850,0,29
84,683261850,FE,0
85,692764100,0,29
86,692790100,EE,0
87,702292100,0,29
88,702318100,EE,0
89,711833850,0,29
90,711859850,EE,0
91,721361850,0,29
92,721387850,EE,0
93,730889850,0,29
94,730915850,EE,0
95,740417850,0,29
96,740443850,EE,0
97,749946100,0,29
98,749972100,EE,0
99,759474100,0,29
100,759500100,EE,0
101,769015850,0,29
102,769041850,EE,0
103,778543850,0,29
104,778569850,EE,0
105,788071850,0,29
106,788097850,EE,0
107,797600100,0,29
108,797626100,EE,0
109,807128100,0,29
110,807154100,EE,0
111,816669850,0,29
112,816695850,EE,0
113,826197850,0,29
114,826223850,EE,0
115,835725850,0,29
116,835751850,EE,0
117,845253600,0,29
118,845279600,EE,0
119,854781600,0,29
120,854807600,EE,0
121,864309600,0,29
122,864335600,EE,0
123,873851350,0,29
124,873877350,EE,0
125,883379350,0,29
126,883405350,EE,0
127,892975600,0,29
128,893001600,EE,0
129,902503600,0,29
130,902529600,EE,0
131,912031600,0,29
132,912057600,EE,0
133,921573350,0,29
134,921599350,EE,0
135,931101350,0,29
136,931127350,EE,0
137,940629350,0,29
138,940655350,EE,0
139,950157050,0,29
140,950183050,EC,0
141,959685050,0,29
142,959711050,DC,0
143,969213050,0,29
144,969239050,DC,0
145,978754800,0,29
146,978780800,DC,0
147,988282800,0,29
148,988308800,DC,0
149,997810550,0,29
150,997836550,DC,0
151,1007338550,0,29
152,1007364550,DC,0
153,1016866550,0,29
154,1016892550,FE,0
155,1026408300,0,29
156,1026434300,EE,0
157,1035936300,0,29
158,1035962300,EE,0
159,1045464050,0,29
160,1045490050,EE,0
161,1054992050,0,29
162,1055018050,EE,0
163,1064520050,0,29
164,1064546050,EE,0
165,1074048050,0,29
166,1074074050,EE,0
167,1083589800,0,29
168,1083615800,EE,0
169,1093153550,0,29
170,1093179550,EE,0
171,1102666300,0,29
172,1102692300,EE,0
173,1112097800,0,29
174,1112123800,EE,0
175,1121602800,0,29
176,1121628800,EE,0
177,1131072300,0,29
178,1131098300,EE,0
179,1140641550,0,29
180,1140667550,EE,0
181,1150194550,0,29
182,1150220550,EE,0
183,1159747300,0,29
184,1159773300,EE,0
185,1169286300,0,29
186,1169312300,EE,0
187,1178814300,0,29
188,1178840300,EE,0
189,1188342300,0,29
190,1188368300,EE,0
191,1197884300,0,29
192,1197910300,EE,0
193,1207412300,0,29
194,1207438300,EE,0
195,1216940300,0,29
196,1216966300,EE,0
197,1226468300,0,29
198,1226494300,EE,0
199,1235996300,0,29
200,1236022300,EE,0
201,1245538300,0,29
202,1245564300,EE,0
203,1255066300,0,29
204,1255092300,EE,0
205,1264594300,0,29
206,1264620300,EE,0
207,1274122300,0,29
208,1274148300,EE,0
209,1283650300,0,29
210,1283676300,EE,0
211,1293178050,0,29
212,1293204050,EE,0
213,1302719800,0,29
214,1302745800,EE,0
215,1312247750,0,29
216,1312273750,EE,0
217,1321775750,0,29
218,1321801750,DC,0
219,1331303750,0,29
220,1331329750,DC,0
221,1340831750,0,29
222,1340857750,DC,0
223,1341873250,0,9
224,1341899250,F0,0
225,1342243000,0,4
226,1342268250,0,59
227,1342303500,0,4
228,1342328750,0,3F
229,1342364000,0,4
230,1342389250,0,3F
231,1342424500,0,4
232,1342449750,0,23
233,1342483750,0,6
234,1342509000,0,50
235,1342539750,0,4
236,1342565000,0,23
237,1342594250,0,6
238,1342619500,0,60
239,1350770750,0,29
240,1350796750,DC,0
241,1360298750,0,29
242,1360324750,DC,0
243,1369826750,0,29
244,1369852750,DC,0
245,1379354750,0,29
246,1379380750,DC,0
247,1386074500,0,0F
248,1386100500,C6,0
249,1386148750,0,9
250,1386174750,3F,0
251,1386230000,0,5
252,1386256000,92,0
253,1386311250,0,9
254,1386337250,16,0
255,1386390000,0,5
256,1386416000,67,0
257,1386471250,0,9
258,1386497250,13,0
259,1386550000,0,5
260,1386576000,7F,0
261,1386631250,0,9
262,1386657250,1B,0
263,1386710000,0,5
264,1386736000,76,0
265,1386791250,0,9
266,1386817250,12,0
267,1386870000,0,5
268,1386896000,60,0
269,1386951250,0,9
270,1386977250,53,0
271,1387030250,0,5
272,1387056250,66,0
273,1387119000,0,9
274,1387145000,50,0
275,1387181000,0,6
276,1387206250,0,60
277,1387467000,0,2A
278,1387492250,0,0B
279,1387676250,0,9
280,1387702250,50,0
281,1388046250,0,4
282,1388071500,0,52
283,1388106750,0,4
284,1388132000,0,33
285,1388167250,0,4
286,1388192500,0,30
287,1388227750,0,4
288,1388253000,0,33
289,1388287000,0,6
290,1388312250,0,50
291,1388343000,0,4
292,1388368250,0,3F
293,1388397500,0,6
294,1388422750,0,60
295,1390421000,0,29
296,1390447000,FE,0
297,1399956750,0,29
298,1399982750,FE,0
299,1409415250,0,29
300,1409441250,EE,0
301,1418943250,0,29
302,1418969250,EE,0
303,1420320250,0,0F
304,1420346250,42,0
305,1420394500,0,9
306,1420420500,1B,0
307,1420475750,0,5
308,1420501750,42,0
309,1420560000,0,9
310,1420586000,0B,0
311,1420638750,0,5
312,1420664750,33,0
313,1420723000,0,9
314,1420749000,0B,0
315,1420801750,0,5
316,1420827750,3F,0
317,1420886000,0,9
318,1420912000,0B,0
319,1420964750,0,5
320,1420990750,33,0
321,1421049000,0,9
322,1421075000,0B,0
323,1421127750,0,5
324,1421153750,30,0
325,1421212000,0,9
326,1421238000,0B,0
327,1421290750,0,5
328,1421316750,57,0
329,1421375000,0,9
330,1421401000,0B,0
331,1421453750,0,5
332,1421479750,77,0
333,1421538000,0,9
334,1421564000,0B,0
335,1421616750,0,5
336,1421642750,47,0
337,1421701000,0,9
338,1421727000,0B,0
339,1421779750,0,5
340,1421805750,67,0
341,1421864000,0,9
342,1421890000,0B,0
343,1421942750,0,5
344,1421968750,58,0
345,1422027000,0,9
346,1422053000,0B,0
347,1422105750,0,5
348,1422131750,78,0
349,1422190000,0,9
350,1422216000,9,0
351,1422268750,0,5
352,1422294750,4C,0
353,1422353000,0,9
354,1422379000,9,0
355,1422431750,0,5
356,1422457750,6C,0
357,1422516000,0,9
358,1422542000,9,0
359,1422594750,0,5
360,1422620750,59,0
361,1422679000,0,9
362,1422705000,29,0
363,1422758000,0,5
364,1422784000,69,0
365,1422849750,0,9
366,1422875750,28,0
367,1422911750,0,6
368,1422937000,0,60
369,1427690000,0,0F
370,1427716000,42,0
371,1427764250,0,9
372,1427790250,1B,0
373,1427845500,0,5
374,1427871500,51,0
375,1427932500,0,9
376,1427958500,9,0
377,1428011250,0,5
378,1428037250,33,0
379,1428098250,0,9
380,1428124250,9,0
381,1428177000,0,5
382,1428203000,3F,0
383,1428264000,0,9
384,1428290000,9,0
385,1428342750,0,5
386,1428368750,33,0
387,1428429750,0,9
388,1428455750,29,0
389,1428508750,0,5
390,1428534750,30,0
391,1428603250,0,9
392,1428629250,28,0
393,1428665250,0,6
394,1428690500,0,60
395,1454143000,0,29
396,1454169000,EE,0
397,1463724250,0,29
398,1463750250,EE,0
399,1473307500,0,29
400,1473333500,EE,0
401,1482829000,0,29
402,1482855000,EE,0
403,1492382000,0,29
404,1492408000,EE,0
405,1501934750,0,29
406,1501960750,EE,0
407,1511465500,0,29
408,1511491500,EE,0
409,1520993500,0,29
410,1521019500,EE,0
411,1530535250,0,29
412,1530561250,EE,0
413,1540063250,0,29
414,1540089250,EE,0
415,1549591500,0,29
416,1549617500,EE,0
417,1559119500,0,29
418,1559145500,EE,0
419,1568647500,0,29
420,1568673500,EE,0
421,1578175500,0,29
422,1578201500,EE,0
423,1587717250,0,29
424,1587743250,EE,0
425,1597245500,0,29
426,1597271500,EE,0
427,1606773500,0,29
428,1606799500,EE,0
429,1616301500,0,29
430,1616327500,EE,0
431,1625829500,0,29
432,1625855500,EE,0
433,1635371250,0,29
434,1635397250,EE,0
435,1644898500,0,29
436,1644924500,EE,0
437,1654426500,0,29
438,1654452500,EE,0
439,1663954500,0,29
440,1663980500,EE,0
441,1673482450,0,29
442,1673508450,DC,0
443,1683010450,0,29
444,1683036450,DC,0
445,1692551450,0,29
446,1692577450,DC,0
447,1702079450,0,29
448,1702105450,DC,0
449,1711607450,0,29
450,1711633450,DC,0
451,1721135450,0,29
452,1721161450,DC,0
453,1730663450,0,29
454,1730689450,DC,0
455,1740205200,0,29
456,1740231200,FE,0
457,1749732450,0,29
458,1749758450,EE,0
459,1759260450,0,29
460,1759286450,EE,0
461,1768788450,0,29
462,1768814450,EE,0
463,1778316450,0,29
464,1778342450,EE,0
465,1787844450,0,29
466,1787870450,EE,0
467,1797385450,0,29
468,1797411450,EE,0
469,1806913450,0,29
470,1806939450,EE,0
471,1816441450,0,29
472,1816467450,EE,0
473,1825969450,0,29
474,1825995450,EE,0
475,1835497450,0,29
476,1835523450,EE,0
477,1845037950,0,29
478,1845063950,EE,0
479,1854565950,0,29
480,1854591950,EE,0
481,1864093950,0,29
482,1864119950,EE,0
483,1873621950,0,29
484,1873647950,EE,0
485,1883149950,0,29
486,1883175950,EE,0
487,1892676700,0,29
488,1892702700,EE,0
489,1902218450,0,29
490,1902244450,EE,0
491,1911746450,0,29
492,1911772450,EE,0
493,1921274450,0,29
494,1921300450,EE,0
495,1930802450,0,29
496,1930828450,EE,0
497,1940330450,0,29
498,1940356450,EE,0
499,1949870950,0,29
500,1949896950,EE,0
501,1959398950,0,29
502,1959424950,EE,0
503,1968926950,0,29
504,1968952950,EE,0
505,1978454950,0,29
506,1978480950,EE,0
507,1987982950,0,29
508,1988008950,EE,0
509,1997509700,0,29
510,1997535700,EE,0
511,2007051400,0,29
512,2007077400,EE,0
513,2016579400,0,29
514,2016605400,DC,0
515,2026107400,0,29
516,2026133400,DC,0
517,2035635400,0,29
518,2035661400,DC,0
519,2045162150,0,29
520,2045188150,DC,0
521,2054606900,0,29
522,2054632900,DC,0
523,2064148650,0,29
524,2064174650,DC,0
525,2073676650,0,29
526,2073702650,FE,0
527,2083204650,0,29
528,2083230650,FE,0
529,2092731900,0,29
530,2092757900,EE,0
531,2102176650,0,29
532,2102202650,EE,0
533,2111704650,0,29
534,2111730650,EE,0
535,2121246400,0,29
536,2121272400,EE,0
537,2130774400,0,29
538,2130800400,EE,0
539,2140302400,0,29
540,2140328400,EE,0
541,2149829650,0,29
542,2149855650,EE,0
543,2159357650,0,29
544,2159383650,EE,0
545,2168899400,0,29
546,2168925400,EE,0
547,2178427400,0,29
548,2178453400,EE,0
549,2187955400,0,29
550,2187981400,EE,0
551,2197482650,0,29
552,2197508650,EE,0
553,2207010650,0,29
554,2207036650,EE,0
555,2216538650,0,29
556,2216564650,EE,0
557,2226080400,0,29
558,2226106400,EE,0
559,2235608400,0,29
560,2235634400,EE,0
561,2245135650,0,29
562,2245161650,EE,0
563,2254663650,0,29
564,2254689650,EE,0
565,2264191650,0,29
566,2264217650,EE,0
567,2273733400,0,29
568,2273759400,EE,0
569,2283261400,0,29
570,2283287400,EE,0
571,2292856650,0,29
572,2292882650,EE,0
573,2302384650,0,29
574,2302410650,EE,0
575,2311912650,0,29
576,2311938650,EE,0
577,2321440650,0,29
578,2321466650,EE,0
579,2330982400,0,29
580,2331008400,EE,0
581,2340510400,0,29
582,2340536400,EE,0
583,2350058600,0,29
584,2350084600,EC,0
585,2359586600,0,29
586,2359612600,DC,0
587,2369114600,0,29
588,2369140600,DC,0
589,2378656350,0,29
590,2378682350,DC,0
591,2388184350,0,29
592,2388210350,DC,0
593,2397719100,0,29
594,2397745100,DC,0
595,2407247100,0,29
596,2407273100,DC,0
597,2416775100,0,29
598,2416801100,FE,0
599,2426303100,0,29
600,2426329100,EE,0
601,2435844850,0,29
602,2435870850,EE,0
603,2445410350,0,29
604,2445436350,EE,0
605,2454937350,0,29
606,2454963350,EE,0
607,2464433850,0,29
608,2464459850,EE,0
609,2473996600,0,29
610,2474022600,EE,0
611,2483549350,0,29
612,2483575350,EE,0
613,2493117850,0,29
614,2493143850,EE,0
615,2502670600,0,29
616,2502696600,EE,0
617,2512223350,0,29
618,2512249350,EE,0
619,2521759600,0,29
620,2521785600,EE,0
621,2531287600,0,29
622,2531313600,EE,0
623,2540829350,0,29
624,2540855350,EE,0
625,2550356600,0,29
626,2550382600,EE,0
627,2559884600,0,29
628,2559910600,EE,0
629,2569412600,0,29
630,2569438600,EE,0
631,2578940600,0,29
632,2578966600,EE,0
633,2588468600,0,29
634,2588494600,EE,0
635,2598009600,0,29
636,2598035600,EE,0
637,2607537600,0,29
638,2607563600,EE,0
639,2617065600,0,29
640,2617091600,EE,0
641,2626593600,0,29
642,2626619600,EE,0
643,2636121600,0,29
644,2636147600,EE,0
645,2645731100,0,29
646,2645757100,EE,0
647,2655259100,0,29
648,2655285100,EE,0
649,2664787100,0,29
650,2664813100,EE,0
651,2674315100,0,29
652,2674341100,EE,0
653,2683843100,0,29
654,2683869100,EE,0
655,2693370350,0,29
656,2693396350,EE,0
657,2702912100,0,29
658,2702938100,EE,0
659,2712440100,0,29
660,2712466100,EE,0
661,2721968050,0,29
662,2721994050,EC,0
663,2731496050,0,29
664,2731522050,DC,0
665,2741024050,0,29
666,2741050050,DC,0
